Company,Location,Source,Type,Education,Years of Experience Required,Skills,Salary_New_Processed,JobTitle_New
Community Health Group,CA,Glassdoor,Full-time,Any Degree,2,,100000.0,Data Analyst
Hora.AI,CA,Company Website,Full-time,Any Degree,1,"Python, SQL, Tableau, ETL, Power BI, Data Visualization, Visualization",100000.0,Data Analyst
Intuit Inc.,CA,Company Website,Full-time,Masters,5,"SQL, Analytics, Data Visualization, Visualization",91520.0,Business Analyst
SRA OSS,CA,Glassdoor,Full-time,Any Degree,5.0,,100000.0,Data Analyst
DAVITA,CA,Glassdoor,Full-time,Any Degree,4,"SQL, Data Visualization, Visualization",100000.0,Data Analyst
Hitalent,CA,Company Website,Full-time,Bachelors,5.0,"Python, SQL, Excel",100000.0,Data Analyst
Gap Inc.,CA,Company Website,Full-time,Any Degree,5.0,"Python, SQL, Tableau, Analytics, Visualization",100000.0,Data Analyst
absolute,CA,Company Website,Full-time,Any Degree,5.0,,91520.0,Business Analyst
Syntricate Technologies,CA,LinkedIn,Full-time,Any Degree,5.0,Cloud,100000.0,Data Analyst
Main Sail LLC,CA,Glassdoor,Part-time,Any Degree,5.0,Cloud,100000.0,Data Analyst
Claritas Rx,CA,LinkedIn,Full-time,Any Degree,2,"Python, SQL, Analytics",110000.0,Data Scientist
Karkidi,CA,Company Website,Full-time,Masters,3,"Python, Tableau, Spark, ETL, Excel",100000.0,Data Analyst
LEE KUM KEE,CA,ZipRecruiter,Full-time,Any Degree,5.0,"Tableau, Power BI, Excel, Data Visualization, Visualization",91520.0,Business Analyst
"AppLab Systems, Inc",CA,LinkedIn,Part-time,Any Degree,2,Excel,100000.0,Data Analyst
Southern California Edison,CA,Glassdoor,Internship,Masters,0,"Data Analytics, Analytics",195000.0,Data Scientist
Santa Clara Family Health Plan,CA,ZipRecruiter,Full-time,Any Degree,5,"SQL, Excel",100000.0,Data Analyst
ORAU,CA,LinkedIn,Full-time,PHD,5.0,,100000.0,Data Analyst
Aurora Innovation,CA,ZipRecruiter,Full-time,Any Degree,5.0,"SQL, Redshift, data warehouse",100000.0,Data Analyst
TikTok,CA,LinkedIn,Full-time,Any Degree,1,"Python, SQL",100000.0,Data Analyst
ClifyX,CA,ZipRecruiter,Full-time,Any Degree,5.0,SQL,130000.0,Business Analyst
ClickJobs.io,CA,Company Website,Full-time,Any Degree,5.0,,100000.0,Data Analyst
"ICONMA, LLC",CA,ZipRecruiter,,Any Degree,3,Excel,100000.0,Data Analyst
Compu-Vision Consulting Inc.,CA,LinkedIn,Part-time,Any Degree,5.0,,100000.0,Data Analyst
360 IT Professionals,CA,Company Website,Full-time,Any Degree,3,Excel,100000.0,Data Analyst
California Public Utilities Commission,CA,LinkedIn,Full-time,Any Degree,5.0,,100000.0,Data Analyst
Futurhealth,CA,ZipRecruiter,Full-time,Any Degree,3,SQL,130000.0,Data Analyst
Crossmedia Inc,CA,ZipRecruiter,Full-time,Any Degree,3,"Analytics, Data Visualization, Visualization",95000.0,Data Analyst
"NasTech Global, Inc.,",CA,LinkedIn,Part-time,Any Degree,2,Excel,100000.0,Data Analyst
The Judge Group,CA,LinkedIn,Part-time,Any Degree,5.0,,122720.0,Data Analyst
Bayside Solutions,CA,LinkedIn,Part-time,Any Degree,4,"Python, Tableau",124800.0,Data Analyst
Augment Jobs,CA,LinkedIn,Full-time,Bachelors,5.0,"Python, SQL, Excel",4160.0,Data Analyst
rcoz.us,CA,LinkedIn,,Any Degree,,,100000.0,Data Analyst
Meta,CA,LinkedIn,Full-time,Bachelors,5,"SQL, ETL, data warehouse",166000.0,Data Engineer
SynergisticIT,CA,LinkedIn,Part-time,Masters,5.0,"Python, Java, Data Visualization, Visualization",208000.0,Data Engineer
KORE1,CA,LinkedIn,Full-time,Any Degree,5.0,,91520.0,Business Analyst
ClifyX,CA,LinkedIn,Full-time,Any Degree,3,"Python, Hive, SQL, Big Data, Spark, Azure, Java, Cloud, Analytics, data warehouse",100000.0,Data Analyst
OpenClassrooms,CA,LinkedIn,Full-time,Any Degree,18,"Python, SQL, Excel",416000.0,Data Analyst
U.S. Bank,CA,LinkedIn,Full-time,Masters,5.0,,150480.0,Data Analyst
24 Seven Talent,CA,LinkedIn,Full-time,Masters,3,"Data Analytics, Analytics, Excel",91520.0,Business Analyst
Agoda,CA,LinkedIn,Full-time,Any Degree,5.0,,195000.0,Data Scientist
New York City,NY,Company Website,Full-time,Any Degree,5.0,"Tableau, Big Data, Cloud",100000.0,Data Analyst
New York City,NY,Company Website,Full-time,Any Degree,5.0,"Tableau, Big Data, Cloud",100000.0,Data Analyst
Montefiore Medical Center,NY,Company Website,Full-time,Any Degree,5.0,Excel,100000.0,Data Analyst
On Location,NY,LinkedIn,Full-time,Any Degree,5.0,"Python, SQL, Tableau, Data Analytics, Analytics, Excel, Data Visualization, Visualization",100000.0,Data Analyst
Altice USA,NY,Company Website,Full-time,Masters,3,"SQL, Tableau, Data Analytics, Analytics, Business Intelligence, Power BI",151170.0,Data Analyst
Altice USA,NY,Company Website,Full-time,Masters,3,"SQL, Tableau, Data Analytics, Analytics, Business Intelligence, Power BI",151170.0,Data Analyst
Thorne Research Inc,NY,Indeed,Full-time,Bachelors,5,"Python, SQL, Data Analytics, Analytics, Power BI, Data Visualization, Visualization",107500.0,Data Analyst
Zip Co,NY,LinkedIn,Full-time,Any Degree,5.0,"SQL, Analytics",125120.0,Data Analyst
Zip Co,NY,LinkedIn,Full-time,Any Degree,5.0,"SQL, Analytics",125120.0,Data Analyst
Blank Street,NY,Company Website,Full-time,Bachelors,2,"SQL, Visualization",120000.0,Data Analyst
iSay,NY,Company Website,Part-time,Any Degree,18,,6240.0,Data Analyst
CUNY,NY,Company Website,Full-time,Bachelors,5.0,"SQL, Oracle, Data Analytics, Analytics",100329.0,Data Analyst
Robert Half,NY,Company Website,,Any Degree,,,100000.0,Data Analyst
CLEAR - Corporate,NY,Company Website,Full-time,Any Degree,5.0,"Python, SQL, Excel",100000.0,Data Analyst
Excellence Community Schools,NY,Indeed,Full-time,Any Degree,2,,100000.0,Data Analyst
Springer Science & Business Media LLC,NY,Company Website,Full-time,Any Degree,2,"Python, SQL, Data Analytics, Analytics",100000.0,Data Analyst
NYC Department of Social Services,NY,LinkedIn,Full-time,Masters,5.0,,100000.0,Data Analyst
EliseAI,NY,Company Website,Full-time,Bachelors,2,"SQL, Tableau, Analytics, Data Visualization, Visualization",175000.0,Data Analyst
City of New York,NY,ZipRecruiter,Full-time,Any Degree,5.0,,100000.0,Data Analyst
Neuberger Berman,NY,Company Website,Full-time,Bachelors,5.0,"Python, SQL, Tableau, Business Intelligence",100000.0,Data Analyst
The Halal Guys Inc.,NY,LinkedIn,Full-time,Any Degree,3,Excel,75000.0,Data Analyst
WayUp,NY,LinkedIn,Part-time,Any Degree,5.0,"Tableau, Data Analytics, Analytics, Excel, Visualization",178000.0,Business Analyst
Paramount,NY,Company Website,Full-time,PHD,2,"Python, SQL, Snowflake, Redshift, AWS, Cloud, Data Analytics, Analytics, Excel",93000.0,Data Scientist
The Halal Guys Inc.,NY,ZipRecruiter,Full-time,Any Degree,3,Excel,75000.0,Data Analyst
Matal,NY,Company Website,Part-time,Any Degree,5.0,,100000.0,Data Analyst
Mitchell Martin Inc.,NY,LinkedIn,Full-time,Masters,5.0,"SQL, Data Analytics, Analytics",100000.0,Data Analyst
City Of New York,NY,Company Website,Full-time,Masters,5.0,,100000.0,Data Analyst
Remote Career,NY,ZipRecruiter,Full-time,Bachelors,4,,145600.0,Data Analyst
NYC Health Hospitals,NY,ZipRecruiter,Full-time,Masters,5.0,Excel,100000.0,Data Analyst
GREATER NEW YORK MUTUAL INSURANCE COMPANY,NY,ZipRecruiter,Full-time,Bachelors,5.0,"Python, SQL, Tableau",128100.0,Data Scientist
