Job title,Company,Scrapped,URL
Data Analyst,Title Nine,1,https://www.google.com/search?fc=EuIDCqIDQUpHOUprTzR5MHdMcjdzUXhJOWNPZlVCOGt1Nk5BZVZqamVma2ZMZlZlWjVaMXMyX0plNHhyY1VLdjk5Zk91eGwxVFJWNnAya0QyeWhuSG5FSEdUcTZvNDhzUEFwaDFMeDVGMWxiTjRfdDFJM2l2ZFhicEpKMmRzcXJaYW4tcW5JR3d6ZjkyYWpUTWJhaTJpREdYUlA5eUwwaHlTMk1ZREk3a1NTQlBaa1ZfT0NXRnBadE43UGNhLUE1eXcxN2EtVzdoSFZXTDRiMDZTT0VzWVZuRXVvYXcwOGhLdDBOcDk4RHZoTDFreFZkUktjdWVzYU5pN2FTQkV6dzdFLWlpVGpkaGxCMzVxcmNjVHR4VGJIMkh2TWtIeS1Id3ktOU5OVkk2S3dvcGg1ZFF6Z0xPV1RzVGN5d3JDNldUdjcwV2lLajk4dFFxSzdZcHNudDRlb212UTlFbUthV0UxbEMzbjZURVIyMGhOUHlyV2c2SlFEZ1lCdFFVaGIwTWpwQ1dDOC0tQ1pTZUkySnFBMjRhcnY5c2ZWSGZsR1VEZzB0TGY0dxIXSkNuNlp2endFdU9uMFBFUHZfekttQXMaIkFGWHJFY3FHNHI0a29LalZNRVVjd2JPaXhqNUJ5a0dSM3c&fcv=3&vet=12ahUKEwj8kpmy6umIAxXjEzQIHT--ErMQw40IegQIIhAN..i&ei=JCn6ZvzwEuOn0PEPv_zKmAs&opi=89978449&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&cs=1&q=jobs#vhid=vt%3D20/docid%3DPk39fRN6_CHh_dwsAAAAAA%3D%3D&vssid=jobs-detail-viewer
Data Analyst,Collabera,1,https://www.google.com/search?fc=EuIDCqIDQUpHOUprTzR5MHdMcjdzUXhJOWNPZlVCOGt1Nk5BZVZqamVma2ZMZlZlWjVaMXMyX0plNHhyY1VLdjk5Zk91eGwxVFJWNnAya0QyeWhuSG5FSEdUcTZvNDhzUEFwaDFMeDVGMWxiTjRfdDFJM2l2ZFhicEpKMmRzcXJaYW4tcW5JR3d6ZjkyYWpUTWJhaTJpREdYUlA5eUwwaHlTMk1ZREk3a1NTQlBaa1ZfT0NXRnBadE43UGNhLUE1eXcxN2EtVzdoSFZXTDRiMDZTT0VzWVZuRXVvYXcwOGhLdDBOcDk4RHZoTDFreFZkUktjdWVzYU5pN2FTQkV6dzdFLWlpVGpkaGxCMzVxcmNjVHR4VGJIMkh2TWtIeS1Id3ktOU5OVkk2S3dvcGg1ZFF6Z0xPV1RzVGN5d3JDNldUdjcwV2lLajk4dFFxSzdZcHNudDRlb212UTlFbUthV0UxbEMzbjZURVIyMGhOUHlyV2c2SlFEZ1lCdFFVaGIwTWpwQ1dDOC0tQ1pTZUkySnFBMjRhcnY5c2ZWSGZsR1VEZzB0TGY0dxIXSkNuNlp2endFdU9uMFBFUHZfekttQXMaIkFGWHJFY3FHNHI0a29LalZNRVVjd2JPaXhqNUJ5a0dSM3c&fcv=3&vet=12ahUKEwj8kpmy6umIAxXjEzQIHT--ErMQw40IegQIIhAN..i&ei=JCn6ZvzwEuOn0PEPv_zKmAs&opi=89978449&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&cs=1&q=jobs#vhid=vt%3D20/docid%3DgH34HA0xdTsaOmJ_AAAAAA%3D%3D&vssid=jobs-detail-viewer
Data Analyst,Walker & Dunlop,1,https://www.google.com/search?fc=EuIDCqIDQUpHOUprTzR5MHdMcjdzUXhJOWNPZlVCOGt1Nk5BZVZqamVma2ZMZlZlWjVaMXMyX0plNHhyY1VLdjk5Zk91eGwxVFJWNnAya0QyeWhuSG5FSEdUcTZvNDhzUEFwaDFMeDVGMWxiTjRfdDFJM2l2ZFhicEpKMmRzcXJaYW4tcW5JR3d6ZjkyYWpUTWJhaTJpREdYUlA5eUwwaHlTMk1ZREk3a1NTQlBaa1ZfT0NXRnBadE43UGNhLUE1eXcxN2EtVzdoSFZXTDRiMDZTT0VzWVZuRXVvYXcwOGhLdDBOcDk4RHZoTDFreFZkUktjdWVzYU5pN2FTQkV6dzdFLWlpVGpkaGxCMzVxcmNjVHR4VGJIMkh2TWtIeS1Id3ktOU5OVkk2S3dvcGg1ZFF6Z0xPV1RzVGN5d3JDNldUdjcwV2lLajk4dFFxSzdZcHNudDRlb212UTlFbUthV0UxbEMzbjZURVIyMGhOUHlyV2c2SlFEZ1lCdFFVaGIwTWpwQ1dDOC0tQ1pTZUkySnFBMjRhcnY5c2ZWSGZsR1VEZzB0TGY0dxIXSkNuNlp2endFdU9uMFBFUHZfekttQXMaIkFGWHJFY3FHNHI0a29LalZNRVVjd2JPaXhqNUJ5a0dSM3c&fcv=3&vet=12ahUKEwj8kpmy6umIAxXjEzQIHT--ErMQw40IegQIIhAN..i&ei=JCn6ZvzwEuOn0PEPv_zKmAs&opi=89978449&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&cs=1&q=jobs#vhid=vt%3D20/docid%3Dk7BqaQcUbbssjkO9AAAAAA%3D%3D&vssid=jobs-detail-viewer
Business & Data Analyst,QBurst,1,https://www.google.com/search?fc=EuIDCqIDQUpHOUprTzR5MHdMcjdzUXhJOWNPZlVCOGt1Nk5BZVZqamVma2ZMZlZlWjVaMXMyX0plNHhyY1VLdjk5Zk91eGwxVFJWNnAya0QyeWhuSG5FSEdUcTZvNDhzUEFwaDFMeDVGMWxiTjRfdDFJM2l2ZFhicEpKMmRzcXJaYW4tcW5JR3d6ZjkyYWpUTWJhaTJpREdYUlA5eUwwaHlTMk1ZREk3a1NTQlBaa1ZfT0NXRnBadE43UGNhLUE1eXcxN2EtVzdoSFZXTDRiMDZTT0VzWVZuRXVvYXcwOGhLdDBOcDk4RHZoTDFreFZkUktjdWVzYU5pN2FTQkV6dzdFLWlpVGpkaGxCMzVxcmNjVHR4VGJIMkh2TWtIeS1Id3ktOU5OVkk2S3dvcGg1ZFF6Z0xPV1RzVGN5d3JDNldUdjcwV2lLajk4dFFxSzdZcHNudDRlb212UTlFbUthV0UxbEMzbjZURVIyMGhOUHlyV2c2SlFEZ1lCdFFVaGIwTWpwQ1dDOC0tQ1pTZUkySnFBMjRhcnY5c2ZWSGZsR1VEZzB0TGY0dxIXSkNuNlp2endFdU9uMFBFUHZfekttQXMaIkFGWHJFY3FHNHI0a29LalZNRVVjd2JPaXhqNUJ5a0dSM3c&fcv=3&vet=12ahUKEwj8kpmy6umIAxXjEzQIHT--ErMQw40IegQIIhAN..i&ei=JCn6ZvzwEuOn0PEPv_zKmAs&opi=89978449&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&cs=1&q=jobs#vhid=vt%3D20/docid%3DzNJYCGg9TrhtMu0xAAAAAA%3D%3D&vssid=jobs-detail-viewer
"Data Analyst, Sales Analytics",Lucid,1,https://www.google.com/search?fc=EuIDCqIDQUpHOUprTzR5MHdMcjdzUXhJOWNPZlVCOGt1Nk5BZVZqamVma2ZMZlZlWjVaMXMyX0plNHhyY1VLdjk5Zk91eGwxVFJWNnAya0QyeWhuSG5FSEdUcTZvNDhzUEFwaDFMeDVGMWxiTjRfdDFJM2l2ZFhicEpKMmRzcXJaYW4tcW5JR3d6ZjkyYWpUTWJhaTJpREdYUlA5eUwwaHlTMk1ZREk3a1NTQlBaa1ZfT0NXRnBadE43UGNhLUE1eXcxN2EtVzdoSFZXTDRiMDZTT0VzWVZuRXVvYXcwOGhLdDBOcDk4RHZoTDFreFZkUktjdWVzYU5pN2FTQkV6dzdFLWlpVGpkaGxCMzVxcmNjVHR4VGJIMkh2TWtIeS1Id3ktOU5OVkk2S3dvcGg1ZFF6Z0xPV1RzVGN5d3JDNldUdjcwV2lLajk4dFFxSzdZcHNudDRlb212UTlFbUthV0UxbEMzbjZURVIyMGhOUHlyV2c2SlFEZ1lCdFFVaGIwTWpwQ1dDOC0tQ1pTZUkySnFBMjRhcnY5c2ZWSGZsR1VEZzB0TGY0dxIXSkNuNlp2endFdU9uMFBFUHZfekttQXMaIkFGWHJFY3FHNHI0a29LalZNRVVjd2JPaXhqNUJ5a0dSM3c&fcv=3&vet=12ahUKEwj8kpmy6umIAxXjEzQIHT--ErMQw40IegQIIhAN..i&ei=JCn6ZvzwEuOn0PEPv_zKmAs&opi=89978449&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&cs=1&q=jobs#vhid=vt%3D20/docid%3D9lWtDP4rFhXQJvK_AAAAAA%3D%3D&vssid=jobs-detail-viewer
Data Analyst II,Pinterest,1,https://www.google.com/search?fc=EuIDCqIDQUpHOUprTzR5MHdMcjdzUXhJOWNPZlVCOGt1Nk5BZVZqamVma2ZMZlZlWjVaMXMyX0plNHhyY1VLdjk5Zk91eGwxVFJWNnAya0QyeWhuSG5FSEdUcTZvNDhzUEFwaDFMeDVGMWxiTjRfdDFJM2l2ZFhicEpKMmRzcXJaYW4tcW5JR3d6ZjkyYWpUTWJhaTJpREdYUlA5eUwwaHlTMk1ZREk3a1NTQlBaa1ZfT0NXRnBadE43UGNhLUE1eXcxN2EtVzdoSFZXTDRiMDZTT0VzWVZuRXVvYXcwOGhLdDBOcDk4RHZoTDFreFZkUktjdWVzYU5pN2FTQkV6dzdFLWlpVGpkaGxCMzVxcmNjVHR4VGJIMkh2TWtIeS1Id3ktOU5OVkk2S3dvcGg1ZFF6Z0xPV1RzVGN5d3JDNldUdjcwV2lLajk4dFFxSzdZcHNudDRlb212UTlFbUthV0UxbEMzbjZURVIyMGhOUHlyV2c2SlFEZ1lCdFFVaGIwTWpwQ1dDOC0tQ1pTZUkySnFBMjRhcnY5c2ZWSGZsR1VEZzB0TGY0dxIXSkNuNlp2endFdU9uMFBFUHZfekttQXMaIkFGWHJFY3FHNHI0a29LalZNRVVjd2JPaXhqNUJ5a0dSM3c&fcv=3&vet=12ahUKEwj8kpmy6umIAxXjEzQIHT--ErMQw40IegQIIhAN..i&ei=JCn6ZvzwEuOn0PEPv_zKmAs&opi=89978449&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&cs=1&q=jobs#vhid=vt%3D20/docid%3D56vmDaku7LxePkWFAAAAAA%3D%3D&vssid=jobs-detail-viewer
Data Analyst,GovCIO,1,https://www.google.com/search?fc=EuIDCqIDQUpHOUprTzR5MHdMcjdzUXhJOWNPZlVCOGt1Nk5BZVZqamVma2ZMZlZlWjVaMXMyX0plNHhyY1VLdjk5Zk91eGwxVFJWNnAya0QyeWhuSG5FSEdUcTZvNDhzUEFwaDFMeDVGMWxiTjRfdDFJM2l2ZFhicEpKMmRzcXJaYW4tcW5JR3d6ZjkyYWpUTWJhaTJpREdYUlA5eUwwaHlTMk1ZREk3a1NTQlBaa1ZfT0NXRnBadE43UGNhLUE1eXcxN2EtVzdoSFZXTDRiMDZTT0VzWVZuRXVvYXcwOGhLdDBOcDk4RHZoTDFreFZkUktjdWVzYU5pN2FTQkV6dzdFLWlpVGpkaGxCMzVxcmNjVHR4VGJIMkh2TWtIeS1Id3ktOU5OVkk2S3dvcGg1ZFF6Z0xPV1RzVGN5d3JDNldUdjcwV2lLajk4dFFxSzdZcHNudDRlb212UTlFbUthV0UxbEMzbjZURVIyMGhOUHlyV2c2SlFEZ1lCdFFVaGIwTWpwQ1dDOC0tQ1pTZUkySnFBMjRhcnY5c2ZWSGZsR1VEZzB0TGY0dxIXSkNuNlp2endFdU9uMFBFUHZfekttQXMaIkFGWHJFY3FHNHI0a29LalZNRVVjd2JPaXhqNUJ5a0dSM3c&fcv=3&vet=12ahUKEwj8kpmy6umIAxXjEzQIHT--ErMQw40IegQIIhAN..i&ei=JCn6ZvzwEuOn0PEPv_zKmAs&opi=89978449&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&cs=1&q=jobs#vhid=vt%3D20/docid%3Dgica3mdFf0HUEwmEAAAAAA%3D%3D&vssid=jobs-detail-viewer
Quality Improvement Data Analyst,Stanford University,1,https://www.google.com/search?fc=EuIDCqIDQUpHOUprTzR5MHdMcjdzUXhJOWNPZlVCOGt1Nk5BZVZqamVma2ZMZlZlWjVaMXMyX0plNHhyY1VLdjk5Zk91eGwxVFJWNnAya0QyeWhuSG5FSEdUcTZvNDhzUEFwaDFMeDVGMWxiTjRfdDFJM2l2ZFhicEpKMmRzcXJaYW4tcW5JR3d6ZjkyYWpUTWJhaTJpREdYUlA5eUwwaHlTMk1ZREk3a1NTQlBaa1ZfT0NXRnBadE43UGNhLUE1eXcxN2EtVzdoSFZXTDRiMDZTT0VzWVZuRXVvYXcwOGhLdDBOcDk4RHZoTDFreFZkUktjdWVzYU5pN2FTQkV6dzdFLWlpVGpkaGxCMzVxcmNjVHR4VGJIMkh2TWtIeS1Id3ktOU5OVkk2S3dvcGg1ZFF6Z0xPV1RzVGN5d3JDNldUdjcwV2lLajk4dFFxSzdZcHNudDRlb212UTlFbUthV0UxbEMzbjZURVIyMGhOUHlyV2c2SlFEZ1lCdFFVaGIwTWpwQ1dDOC0tQ1pTZUkySnFBMjRhcnY5c2ZWSGZsR1VEZzB0TGY0dxIXSkNuNlp2endFdU9uMFBFUHZfekttQXMaIkFGWHJFY3FHNHI0a29LalZNRVVjd2JPaXhqNUJ5a0dSM3c&fcv=3&vet=12ahUKEwj8kpmy6umIAxXjEzQIHT--ErMQw40IegQIIhAN..i&ei=JCn6ZvzwEuOn0PEPv_zKmAs&opi=89978449&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&cs=1&q=jobs#vhid=vt%3D20/docid%3DwXUEVHydlx6kU-KJAAAAAA%3D%3D&vssid=jobs-detail-viewer
Data Analyst,DDG,1,https://www.google.com/search?fc=EuIDCqIDQUpHOUprTzR5MHdMcjdzUXhJOWNPZlVCOGt1Nk5BZVZqamVma2ZMZlZlWjVaMXMyX0plNHhyY1VLdjk5Zk91eGwxVFJWNnAya0QyeWhuSG5FSEdUcTZvNDhzUEFwaDFMeDVGMWxiTjRfdDFJM2l2ZFhicEpKMmRzcXJaYW4tcW5JR3d6ZjkyYWpUTWJhaTJpREdYUlA5eUwwaHlTMk1ZREk3a1NTQlBaa1ZfT0NXRnBadE43UGNhLUE1eXcxN2EtVzdoSFZXTDRiMDZTT0VzWVZuRXVvYXcwOGhLdDBOcDk4RHZoTDFreFZkUktjdWVzYU5pN2FTQkV6dzdFLWlpVGpkaGxCMzVxcmNjVHR4VGJIMkh2TWtIeS1Id3ktOU5OVkk2S3dvcGg1ZFF6Z0xPV1RzVGN5d3JDNldUdjcwV2lLajk4dFFxSzdZcHNudDRlb212UTlFbUthV0UxbEMzbjZURVIyMGhOUHlyV2c2SlFEZ1lCdFFVaGIwTWpwQ1dDOC0tQ1pTZUkySnFBMjRhcnY5c2ZWSGZsR1VEZzB0TGY0dxIXSkNuNlp2endFdU9uMFBFUHZfekttQXMaIkFGWHJFY3FHNHI0a29LalZNRVVjd2JPaXhqNUJ5a0dSM3c&fcv=3&vet=12ahUKEwj8kpmy6umIAxXjEzQIHT--ErMQw40IegQIIhAN..i&ei=JCn6ZvzwEuOn0PEPv_zKmAs&opi=89978449&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&cs=1&q=jobs#vhid=vt%3D20/docid%3D7dzHlrfOxWG8WwHWAAAAAA%3D%3D&vssid=jobs-detail-viewer
"Data Analyst, Warcraft Analytics",Blizzard,1,https://www.google.com/search?fc=EuIDCqIDQUpHOUprTVdTU3ExZkUxUkVsT1R1QlZEendXWlRHNG9neGhGazJnc2phZWJ0UHFIb0F5WkZNTlFLdTBXbE5QWk5Va1BhNWctX1ZNQjVFcFlRMzZ2clpJbDRLalJONXJHRE9PT0ZQYWZHT0E2R3JKVlZMZ25PUzhsdTVFZHJYWTJNc1NTRTh0TTFlTkxnUXpNa0x4NWQ5YTc5bVlSa0ZqMVc1ZTd6ZWItR0otSV9qUEJvcGhsVW1zYTdrM0FnMWpOeUlRWnU2MXVCRWVkRDlrNi1jUmFDYnF5dVBCQzlxU3BUTnNjcnkzS3FiOUlYMmJLWjJCMWh3VHpMSndYUGE5TllJaGNyem1wNV9rR0NmN19sNFFSVHdiZ2ZEbFBna3BBMWhJNUVnU3J1SkQ4QmlQQlBLQzhmb0pWbVRFRm9MTEhjVnQ3UXpnQ2YteHFWTHpvYi1yelJWZTlQN2pkZUhDTHR5bEk1Mkdfc3BVMzFGR1dCMjV1LU9zRG1OVmd3c2FOMTlneHc1QWVIVHluQTI3NTRURGgyOWtRZVVLRGNicllLZxIXSmluNlp2MndOTU9BMFBFUHphaV9pQTgaIkFGWHJFY3FXbzVFNUxFME03azFHLTZ0QW1WN2ZwSkxLOXc&fcv=3&vet=12ahUKEwj927Sz6umIAxVDADQIHU3UD_EQw40IegQIChAB..i&ei=Jin6Zv2wNMOA0PEPzai_iA8&opi=89978449&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&cs=1&q=jobs#vhid=vt%3D20/docid%3DnjVb76YFjfw95eD2AAAAAA%3D%3D&vssid=jobs-detail-viewer
